video_id,video_title,video_like_count,video_view_count,comment_id,author,comment,timestamp,comment_like_count,reply_count,reply_id,reply_text,reply_author,reply_published
rESOc5PmBx8,10 Best Countries to Visit for Long Term Stays in 2025,3382,106627,UgztLWzgWbwS5tL9_bh4AaABAg,@jimcooper1725,"Great video, but I thought Mexico would have been on your list too.",2024-09-07 12:37:35,5,1,UgztLWzgWbwS5tL9_bh4AaABAg.A84wmLlw2BUA84xV32ZXHx,"We do LOVE Mexico, but we have put out so much Mexico content lately we wanted to share some other places we love.  Thanks for watching.
Happy journeys,
John and Bev
https://retirementtravelers.com/",@RetirementTravelers,2024-09-07T12:43:50Z
HcdohhNq8Iw,25 Best Countries To Visit In 2024 | Travel Guide 2024,10251,1220389,UgwyTZNNsQGAwvzNvPt4AaABAg,@JetLagRecords,"Scenic Hunter, I really liked this video! I subscribed too!",2024-04-27 04:07:19,2,2,UgwyTZNNsQGAwvzNvPt4AaABAg.A2iZeeEo76iA2jpL4pEU4i,Thank You ♥️♥️♥️,@scenichunter,2024-04-27T15:52:18Z
oEnQkKWOJDQ,Top 10 African Countries to Visit in 2021 | MojoTravels,2357,147607,UgxxB9n0MqNBFR5BVNl4AaABAg,@thisistheplacetobe,"""Africa, including North Africa"" what ???",2020-10-24 09:04:51,18,13,UgxxB9n0MqNBFR5BVNl4AaABAg.9FBcQ0k_3MQ9FC-v0sa2Bo,a single top 10 video about north Africa is kinda weird because they are not even 10 !!,@mohamedessam623,2020-10-24T12:38:56Z
Nf9Gtmxpe0k,Greece Is Insider&#39;s No. 1 Country To Visit In 2020,6802,250238,Ugy7hGNGbGbp8246I5x4AaABAg,@njj13412,"I’ve traveled quite a bit for my age, but I have to say, Greece is THE most beautiful country ever. Might be biased cause Serbs and Greeks are historically close, but regardless... It has mountains, winter ski resorts, stone villages, rivers and forests, islands and beaches, delicious food, friendliest people. If you haven’t, visit ASAP ❤️",2020-01-20 23:59:10,704,10,Ugy7hGNGbGbp8246I5x4AaABAg.941OluQaL3w95fGl5Ky8_Q,Finally an aspect other than beaches and islands is recognized! Thanks for visiting ❤️,@Books-and-coffee0,2020-03-01T17:29:24Z
Nf9Gtmxpe0k,Greece Is Insider&#39;s No. 1 Country To Visit In 2020,6802,250238,Ugy1M996ECZ1WmvhWut4AaABAg,@george3appak,"As a Greek, I want to ask something from the people that will visit my country in 2020. Please, boycott the donkey rides at Santorini and use the lift instead. These animals are treated really badly",2020-01-19 16:34:28,754,18,Ugy1M996ECZ1WmvhWut4AaABAg.93z151yqGpx98oHsHcWrMD,"Ναι φίλε, αν και ζουν οικογένειες από αυτή την δουλειά, έχεις μεγάλο δίκιο όμως. Είναι μεγάλη αμαρτία να φορτώνεις ένα ζώο μέσα στον καύσωνα. Πραγματικά αμαρτία!",@gia4579,2020-05-18T19:06:28Z
0CVKc989V90,"10 Cheapest English Speaking Countries To Retire, Visit or Live",5801,338557,UgzvR5sv7QZAo7HNZdR4AaABAg,@jamesdean1143,"What about Lagos, Nigeria ?",2024-07-20 21:12:28,3,1,UgzvR5sv7QZAo7HNZdR4AaABAg.A67gkV06WUvADLw9yvmrS9, Or Haiti?,@boudiccaprasutagus5709,2025-01-16T09:36:16Z
T6Zl_DuRvRs,Top 10 countries to visit in 2020 - Lonely Planet,1175,126040,UgwZ-7fDFXbqGAKjIvF4AaABAg,@Kakarot12733,Search it on Google pakistan is number one ranked country to visit in 2020,2019-12-31 15:35:55,2,0,,,,
l74uBTzJScw,Top 5 safest countries in Africa to visit😱😍,3756,76773,UgxD2gV-cQOUN9TiQCt4AaABAg,@Nevar_studios,"""Unfortunately its not lgbtq friendly""
The f*ck you mean unfortunately?! That is fortunately",2025-01-12 10:30:19,0,0,,,,
Nf9Gtmxpe0k,Greece Is Insider&#39;s No. 1 Country To Visit In 2020,6802,250238,UgxNr0BV64Vz67Gnoyt4AaABAg,@eleniasimop,"For God's sake, Greece is not only Mykonos and Santorini!",2020-01-15 19:30:35,1970,32,UgxNr0BV64Vz67Gnoyt4AaABAg.93p23NgB5Lc9598QvcOpAC,ε μα πια έχει καταντήσει γελοίο !,@mariosk3466,2020-02-17T20:41:40Z
l74uBTzJScw,Top 5 safest countries in Africa to visit😱😍,3756,76773,UgyCctbb-Zh7vCjHaQl4AaABAg,@philipmaundu2247,one thing you don't know is this are cities of kenya,2024-05-20 09:36:23,0,0,,,,
HcdohhNq8Iw,25 Best Countries To Visit In 2024 | Travel Guide 2024,10251,1220389,UgznWRX5daU6LP7PgvB4AaABAg,@AaronBarrera-kz2yt,It’s time.,2024-01-01 05:39:36,1,1,UgznWRX5daU6LP7PgvB4AaABAg.9z0TDCy4bJt9z0dQ9ekuY7,Wish You A Happy New Year...!,@scenichunter,2024-01-01T07:17:30Z
eLPVDaaQybY,Top 10 Places To Visit in 2025 (Year of Travel),13014,786255,UgzyNPLEOLSX14WMxQZ4AaABAg,@Trumppower,I swear this guy has better Life than many Billionaires. 😂,2025-01-01 16:32:21,576,19,UgzyNPLEOLSX14WMxQZ4AaABAg.ACl2rICokXSACx6_eD1N22,"So true! 💯 Sometimes the richest life isn't about having the most money, but about experiencing the world and collecting memories! I'd rather have a backpack full of travel stories than a bank account full of money I never enjoy! Who else feels the same way?",@MemorableTravelStories,2025-01-06T08:55:47Z
t6clmCbzO0E,25 Best Cheapest Countries To Visit In Europe 2024 | Travel Guide 2024,1157,79510,UgzGkAE4kXU6glg7GoV4AaABAg,@jjimena263,Good stuff. Saved this vid for future reference. Cheers!,2024-04-14 07:39:56,1,1,UgzGkAE4kXU6glg7GoV4AaABAg.A2CTeZn_1ZaA2CdklveC6L,♥️♥️♥️♥️,@scenichunter,2024-04-14T09:16:55Z
l74uBTzJScw,Top 5 safest countries in Africa to visit😱😍,3756,76773,Ugyjv9X3mfucv05G6LB4AaABAg,@jellybean-of9kk,Thanks for including Mauritius 🇲🇺,2022-11-11 09:44:46,2,0,,,,
